ID,label,review
44,Negative,PM k sath her waqt military sectory hota hai jiska rank Lft hota hai sath ssg commandos hotay hain yeh kia bakwas ker rahi hai our PM business class main nahi First class main travel kerta hai sasti shuhrat k liay
45,Positive,Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai
46,Positive,Is tarikhi waqeye ne khawateen ki duniya badal di
47,Positive,Wo muqaddar ka sikander Janemann kehlaega
48,Negative,Ban karo haram khor ko
49,Positive,Mere liye wo yadgaar lamhaat the aur us film ko kabhi nahi bhula sakta
50,Positive,yehi youth hi tou PTI ki taqat hy
51,Negative,Lakhtee LAANAT ZOOG
52,Negative,Log Gariyaan Band Ker K Be Bus Kharay Hein
53,Negative,Kabhi jao kpk pata chal jayega
54,Negative,Hmari halat next lvl buri thi
55,Positive,Un ki dardmandi ka andaza is baat se lagaya ja sakta hai ke dehshat gardi ke waqeyat aur mukhtalif hadsat mein halak hone walon ke bkhire aza ko mutadid martaba unhon ne apne hathon se yakja kiya
56,Negative,haan haan chor kabhi khud ko chor kehta ha xD
57,Negative,Ye bik gaye hay auntie
58,Negative,new episode nhi arhi q
59,Negative,Rana sahb ko mashwra hai is team ko baech kar maronda le lain mun to mitha kary ga kam se kam
60,Positive,Allah App ko app ke naslo ko apny khazano say nawazay
61,Positive,Aisee h hai Allah Paak ki rehmat infinite
62,Negative,m tuje intahi kutti post p mention krny lgti pr pta ni galt btton q db jaty hn
63,Positive,ap sab in sha ALLAH duaon main shamil hain
64,Negative,o bhai tumhri post par gandi link dt hai kisi ny ude delete kro
65,Positive,Hahaha mere choty veer in baton ka hi ma uper zikar kar raha hon
66,Negative,Kia horaha hai es mulq ka afsos
67,Positive,lol is page waly ki DP dekh or bat kia karaha yeh
68,Positive,1994 mein wo senate Peters Burg ke deputy mayor ban gae
69,Positive,Isi kamiyabi se mutassir ho kar Steven Spielberg ne film Close Encounter banai jis ne box office par acha business kiya
70,Positive,Ubqari k adwiyaat khany se mil jaye ga anmool khazana
71,Negative,Is me ihtijaj ki kia baat he Ye Islami Mulk he Yahan par baghair kisi Ihtijaji k aise programe ki ijazat kis ne di he
72,Negative,Aapsay baat karne ka koi faidaa nahe You win
73,Positive,Achi heat hai
74,Negative,Larki Ne Vote Ki Bajaye CNIC Box Mein Dal Dia
75,Positive,Ap Sb Ki Shirkat Ka Shukrya
76,Negative,Jnb ap writen likh sakty han ap Authority wise Afsar han showcase letter jari kar datay Allah pak Ny ap ko Izat di h or ak Acha Rutba dia h but apny Mulazim ki kisi k Samny Insert karna Galat h
77,Negative,national games aur national championship jese muqablon tak mein saholaton ka mayar intehai kharab hai
78,Positive,In ke walid ne is ki naqool apne doston mein taqseem ki aur aik copy nizaam Hyderabad ko bhi bheji
79,Positive,super match
80,Negative,mere hotay huay tumhen aur koi chahiye bhi nahi D
81,Negative,Khabees is a gold digger i have always thought about it and today she has proved it
82,Negative,14 November ko police nay inhein giraftar karliya
83,Negative,Kiya seriously Pakistani awam ya Pakistan kashmirino ko own b karti hai ya phir bus Punjab he Pakistan
84,Negative,Phele inter schools aur inter colligate muqablon mein schools aur colleges ke talba aur talibat ki aik bari tadad sharik hoti thi ab y tadad ungliyon par gini ja sakti hai
85,Positive,Masha AllahAllah aap KO lambi Umar de
86,Positive,Aain aur mazhab mein khawateen ko jo hoqoq deye gaye hain un se Majida Rizvi pori tarah mumain hain
87,Positive,Back ground song awla ha
88,Positive,Jab ke inho ne test mein 2 aur one day mein bhi 2 hat ricks ki hain
89,Positive,Lahore Qalandars Very good 2019
90,Positive,Karachi Me Aashura K Mauqay Per Mukammal Aman Raha
91,Negative,Jab un Ko he esmbly may Lana hai tu hindustan say Pakistan bananay Ka kia mathlab Howard
92,Positive,Mashalla allha pak slamat rakhy ameen ameen
93,Negative,Dushmn
94,Negative,Zalzly Se Mutsera District Nazim K Apny U C me Koi Pursan e Hal ni
95,Negative,Imran khan nay kaha kay in ki zindagi aur Karachi mein tehrek e Insaf kay karkun ki zindagi khatra lahaq hai khun kay Britannia hukumat nay Muttahida Qaumi Movement kay London mein muqeem quaid Altaf Hussain kay khalaf qadam nahi uthaya jis say ye log shair ho kar tashadut ki karwai kar saktey hain
96,Negative,Sher Aa Nhe Raha Agya Hy Lahore Ne ilzam aur Gaali ki Siasat Mustrad kr Di Maryam Nawaz
97,Negative,lannat ko ese insan pe
98,Negative,Baita yai lov tu ny wrong side lga lia
99,Positive,Sonal Chauhanne Telugu film industry se umeedein wabasta kerty huey LEGEND naami film sign ker li hai jis ki aksbandi in dino tezi ke saath ho rahi hai jab ke ANTHONY DE SOZA ne bharti film BLUE ke sequel ASMAN mein AKSHAY KUMAR KATREENA KAIF ZAHID KHAN SUNJAY DUTT LARA DUTTA aur JOHN ABRAHAM ke saath ehm role mein cast kiya hai
100,Negative,jaan Nikal di yaar
101,Positive,buhat acha hai yeh item me use karunga
102,Positive,tmhare lye best haekrle shadi
103,Positive,Walid se in ki qurbat aur wabistagi bohat gehri thi
104,Positive,Jab film walon ne Iqbal Bano ki classical awaaz suni to in se rujoo kiya aur film ke liye gaane ki baqaida dawat di
105,Negative,Aitmaad Na Karo
106,Negative,Majboriyun ka sahara le kr chor jany waly aksar bewafa hoty hain
107,Positive,October 1959 mein unhain U N O mein Pakistani wafad ka quaid bana ker bhaja gai to Zulfiqar Ali Bhutto nay Russia aur America ki taraf say takhfife aslaha ki tajaweez kay silsilay mein Pakistani moqif bohot khubsurti say pesh kiya
108,Positive,Boht he aala
109,Negative,Saudi Company Ne 250 Arab Me National Power Construction Corporation Khareed Li Steel Mills Aur PIA Ki Nijkari Bhi Hogi Hukomat
110,Positive,Bahawalpur mein bhi Ahmed Faraz Fun aur Shakhsiyat ke unwaan se PhD ka maqala tehreer kiya gaya
111,Positive,Sada muskaraty rhn g
112,Positive,abay saloo ya hota ha scha piyer
113,Positive,Apne career ke mustaqbil ka faisla wo taleem mukammal hone ke bad he karega
114,Positive,Bilkul zindagee k achay sathee mai yahi hna chhahiyay ikhlas imaan
115,Positive,Love LQ uncondtionly
116,Negative,Siyasi samaji aur iblaaghi halqon ki janib se miss Haseena Wajid ko yeh mashwara diya ja raha hai ke wo apna zehni muaaiyna karaey kyun ke jis qisam ki siyasi inteqami policy inho ne apna rakhi hai wo kisi bhi soorat mien mulk o qaum ke mafaad mien nahi hai
117,Negative,Sohrab Goth Mein Ka Bais 50 Saala Shaks Intaqal Kar Giya
118,Positive,Good
119,Positive,Maa shaa ALLAH tasbih khane ky wazif lajawb ha
120,Positive,koi issue nai bhale mera cup use karen beta meri bottle b har koi use karta hai
121,Positive,Walikum As salam Besahak Ap ko bhi Jumma mubarak
122,Positive,this is your eid
123,Positive,Nai nai acha lag rha h pic lo in see phr Ami Je se pocho
124,Negative,Khusre ko band karo fori Ye bohat chawl ha
125,Negative,Faiz Ahmed Faiz ka inteqal 20 November 1984 ko Lahore mein hua
126,Negative,Tujy tu ya pata nae ho gy ky 2sajdo ky darmya ky par ty hain Ya ajj wo be dkh ly
127,Negative,Acha tell me yeh itnay baray baray jalsay joKarta hai woh pesa kahan sey ata hi Zakkat khata hai yeh gareebon ki hospital ko jo milti hai
128,Positive,Eman or amaal wali zindge k liye duaon ki darkhast hy
129,Positive,Aik interview mein inho ne kaha tha mujhe shohrat nahi gumnami chahiye
130,Positive,kia bat hai g apki
131,Positive,Hum kaam se gaye thy phir kaam se gaye
132,Negative,Physical appearance pe comment krne se guraiz kren
133,Negative,Agar ap muslem hyn to ap ko khud pata ho ga k kahan bandna h ghar Muslim mazaq hi urain gy in ki samj sy uopar h
134,Positive,Jis ke bad film Bus Stop mein in ki dramatic acting ko naqadon ne bohat saraha aur Marilyn golden globe award ke liye nominate hui
135,Positive,in belts ki quality behtar thi mjhe inki quality se koi shikayat nahi hai achi munasib quality hain in belts ki aur size b sahi aya hai main is se tw mutmaeen hoon aur koi complain nahi mjhe is se roz use b kar rha hoon
136,Negative,you are not kamyaaab abhi
137,Positive,Ya mere rab tu bra kreem hy is mulk k halat PR reham frma Is watn e Aziz ki hifazat frma amin
138,Positive,Sirf 28 saal ki umer mein 1921 mein Bengal qanoonsaaz council ke member bane aur apne auhdon par faiyz reh kar aap ne musalmano ke mafadaat aur huqooq ki khatir kisi na kisi satah par zaroor kaam kiya
139,Negative,sharam to a rahi ho ge
140,Positive,Khan family ne Squash per taweel hukumat ki hai aur yeh kahna baja hoga ke unhon ne Squash ki tareekh ko apne haton se likah hai
141,Positive,Allah kray doctor afia sadiqi pakistan aye refrendom ho aor doctor afia sadiqiWazeer a Azam bnay Ameen
142,Positive,Haniya Khan
143,Negative,Aj kal hmri govt esi ha k inki wja sy educated log byrozgar bethy hain
144,Positive,pyaar hai voh
145,Negative,Tym nikal k milo logo ko judge krna h
146,Negative,Khi Me Aaj Rat 12 Baje Se Motorcycle Ki Double Sawari Per 3 Din K Lye Pabandi Hogi
147,Negative,Sindh Main Teer Nay Mokhalifin Ko Chalni Kardia
148,Positive,Allah lambi zindagi or sehat ata farmaye
149,Negative,Bari e koi chwl orat ho tum
150,Positive,Guzishta saal December tak naye stadiums ki tameer aur purane medanon ki tazeen o araish ke leye Brazil Football Assosiation aur Brazilian hukumat ne 3 7 Billion Dollor ke akhrajat ka takhmina lagaya tha
151,Positive,Lala is Great Man and Lion
152,Positive,Allah hamain Hajj ki sadat ata kary Ameen
153,Positive,hahaha bilkul perfect naqsha khencha
154,Negative,Ye ilzam hau muj masoom pe
155,Positive,Bilkul InshaAllah beshk Allah har chez pe qadeer hain ap yakeen se tobha krain wohi to hain muaf krne waly
156,Negative,Saanp ka kaam Zahar ugalna hi hai
157,Positive,Masha Allah huma huma ap pyare
158,Negative,Dr Asim Ki University Or Hospital Ka Record Talab Ker Lia
159,Positive,allah pak janatul firdus main alla maqam day ameen
160,Negative,Mashi mushkilat ne un ke khandan ko ghere mein le liya tha
161,Negative,2001 mein Parvez Musharraf ki aamriyat ke afriyat ne farzand jamhoriyat ke samne mou phara daraya dhamkaya mukhtalif bahanon se rah e rast se hatane ki koshish ki
162,Negative,Hum Khud Ko Bhool Bethay Tujhe Yaad Krte Krte
163,Positive,Main nevan mera Murshid ucha
164,Positive,Allah Ya Allah madad
165,Positive,G new type ka drama hai
166,Negative,ye muqtada to nehayat he chawal kisam ka insan lgta hje
167,Positive,Aap ki yehi salahiyat 1937 mein aap ko Islamia College ke magazine EEE EEEcrescent EEE EEE ka naib mudeer banwane meinmadadgar sabit hoi
168,Positive,Hazarat sab salam dua m yad rakhyiga
169,Positive,Allah pak tasbeeh khane ko qyamat tak abad rakhe AMEEN
170,Negative,Aap ko phir buhat ghussa ayya k ye jo teacher party hai wo bachoon ko ghalat ratte marne ki training de rahe hain
171,Positive,Bohat khub
172,Positive,Lol thank you so much
173,Positive,Inshallah hum dono kaamyaab rhen apne naik iraadon mein tune tou shiad dhond liya ya abhi bhi talaash jaari
174,Positive,Jitna zoor laga loo result 0 hi ho ga tum loog azmay howay jawarri hoo
175,Negative,fabiha ki overactng check kro jaise sbse pakeza h
176,Negative,Kaash hum b parhay likhay hotayKabhi likhtay gulbadanKabhi likhtay Gulfeezan
177,Positive,Nawab Zehri Balochistan Ke Aainda Wazir e Ahla Honge Tawaqu Hai Nawab Zehri Blochistan Me Amn Ke Qiyam Ko Yaqini Banainge
178,Positive,Pakistan team mein hone wali baghawaton ka zikar karen to baat gol kar jayen ge
179,Positive,1985 mein hukumat e Pakistan ne un ki ala fani khidmaat ke atiraf mein unhen Pride of Performance ke award se nawaza
180,Negative,Wazair E Dakhla 15 Din Kisi Ki Hirast Mein Rahe To Woh Bhe Her Juram Qabol Karen Ge Khursheed Shah
181,Positive,Is leye kuch hazrat ke nazdek un ki tehrirein mazamin ke bajaye taqrir kehlane ki mustahiq hain
182,Negative,Ro dil bar k roo salman pe qandous mein to terrorist maray gaye hein
183,Negative,Indian bollywood ko dekhny per pabandi llagaye jaye Masla hollywood aur bollywood se hi shuru howa hy
184,Negative,Dil k under kia hai woh Allah he junta hai Alzam Trashi say Baz Rahoo Yeh b eik guna hai
185,Negative,ALLAH in ko tabha o barbad kry jo me molawes he
186,Positive,Raat ko Panjwani sahab k hath aik marker bhi lag gaya jis se wo sotay huway logon ki shakloon per khakay bana kar purlutf hotay rahay
187,Negative,Saas ny sara ilzam biya pe lga dea h k uski wja se usky bety k sth aesa hua
188,Negative,Ghazi mumtaz ko shaheed krny waly jannati hain Kia
189,Positive,Achay size ka fridge hai kamre mein bara acha lagta hai aur iskay dual temperature mechanism bhee pasand aaya Freezer mein jamaa de cheezon ko aur fridge mien achee cooling maintain kare aur yeh to energy efficient bhee hai
190,Positive,Allah salamat rrakhy
191,Positive,Pakistan ki team ki coaching to wo saal hasaal karte rahe lekin 2 seasons mein Intikhab Alam ne Bharati Punjab team ki coaching ki
192,Positive,Maha pura Gaana hai tum ko pasand aiga
193,Positive,Jab un ka jism mila to tab bhi un ki gun un ke sene se lagi hoi thi
194,Positive,Bohat mazy ka yr mode fresh ho jata h
195,Negative,qsmyyy ghunny maisny
196,Negative,ye wo mard e mujahid hy es time govt ki traf sy pabandi ti net cafe open rakny ki or ye time namaz taraveh ka ta bsss rs bhai jaan ko gussa aya or akar sab ki wart laga d
197,Positive,Itni khubiya
198,Negative,Ye ni dikhana chaye thaDanial zafar bc
199,Positive,laila tul jaiza mubarik
200,Positive,Unho ne Haji Sir Abdullah Haroon ke sath mil kar Sindh ki Bombay se alehdgi ke liye kaam kiya
201,Positive,5 saal baad Jab apki job achi hogi 2 Larkiyon k rishtay ayein gy czns k par Ap bahir kru gy
202,Positive,Allah rehm kre behn per
203,Positive,MashaAllah sada geo
204,Negative,Iss tehreek ki kamyabi par inhein aur sathiyon ko kai bar tashadud ka nishana banaya gaya aur paband slasal kiya gaya
205,Positive,Agr 20 din bhi compaign kr lety to ap ne jeet jana tha Bro
206,Negative,Bas mujhe yehi darr tha ke kya main is role ko kar paonga
207,Positive,Buhat acha laga mein again use karunga
208,Negative,Hamain bas karna chahiye Logo ke DM aarahe hai ke binzi ko rolna band karo
209,Positive,Allah in ko lambi Zindagi dy
210,Negative,Mehdi Hassan ka geet ranjish hi sahi dil hi dukhane ke leye aa aur ik sitam aur meri jan abhi jan baqi hai aaj bhi suniye to dil udas ho jata hai
211,Negative,Margyi ok
212,Positive,tum na paida hti to kya hta mra
213,Negative,Purani Subzi Mandi Main PTI JI Aur MQM Kay Mabain Tasadam Rangers Jaye Waqua Per Pohanch Gayi
214,Negative,Aap ki zuban aap ki shkhsiyat aur khandan ka pta deti hai
215,Positive,Edhi center mein 1952 se qaim shudah jhula project ka charge bhi unhon ne bakhubi sanbhala
216,Negative,Or pathar khaya tou agay wada bhi kiya ke pani dega sabko
217,Positive,yani hum dono kamyab hain
218,Negative,Bohat ehtajaj krengy
219,Negative,g miss wohi hai same to same
220,Negative,Bakwas jo dakhnay mai hai wesi bilkul nahi main ne khud lee hai lahore k address pay deliver hoi hai aor farig presented
221,Positive,2 Nafs K Khilaf Jihad Karna JIHAD E AKBAR Hai
222,Negative,Jessey aap tu islam k bohot barey aalam hain log aap se fatwa leney aatey hain
223,Negative,Kisi ne shayad sach he kaha hai Iqtedar ki kursi par gond laga hota hai
224,Negative,Kia me itni buri hun k tum mug se asrati piar karo
225,Negative,dekhlo ye mzaq Nahi
226,Positive,K Apni Maa k Qadmo k Nishan Dhondh Raha Ho
227,Negative,P nai to kya aAp ne unhay dartu samjha ha jo safe guard se hath dho k pEechay par gay ho us k D
228,Negative,k is kuuti k bache ki qeemat bs ak seat thi iska tu naak b kutte jesa shakal b kutte jesi aur kertot b kutte jese
229,Negative,Aj toh hud he ho gyi na mtlb
230,Negative,best candidate koa nhn mil rahaa aap kea workers koa nhn aap kea p t i keaa tickes bhi chooron koa lootoon koa mil rhea hean
231,Positive,Husband k sath rhenay ki dua kar dain please
232,Negative,September 2010 mein Salman Khan ko us waqat shaded tanqed ka samna karna para jab unhon ne mumabi hamla case ke bare mein aik interview mein ye kaha ke is mamle par itna shor is leye machaya ja raha hai ke is bar hamla ashrafiya par howa aur five star hotels ko nishana banaya gaya
233,Negative,AGR ap bhi syasat karny lagy ho to log mayous hojaengy
234,Positive,Mari baitiyon k Naik naseeb k Lia dua kerien
235,Negative,Usey bhi report kaeu pemra par
236,Negative,Reporter bari khubsurat thi agar munh na kholti
237,Positive,Master Inayat Hussain ne ghair filmi ghazalen aur geet bhi compose kiye jin mein Inayat Hussain Bhatti Munawar Sultana Malka e Pukhraj Dilshad Begum aur Malka e mosiqi Roshan Aara Begum ne awaza ka jadu jagaya
238,Negative,O biju ke oulad
239,Negative,naughty boy Bhalla corruption karre chup kar k Ye gande kam kyun karta hei
240,Positive,phupo ko thanks bolin meri trf sy bht bht
241,Negative,Jo Aurat Gair Mard Par Apni Zinat Zaahir Karne ke Liye Daman Ghasite
242,Positive,3 saal ki umer mein inho ne French language aur piano bajane ki classes mein admission le liya tha
243,Negative,ye dekh kr mjhe tu kyun yaad ayi
244,Positive,Inshala sir hm aen gy
245,Positive,Hazrat ji Dua kijiye inamulhasan
246,Positive,Hindustan ke mukhtalif alaqon mein na sirf Pakistan ke naam se tanzemein qaim huein balke Pakistan ke naam se akhbarat o jaraed bhi jari kiya gaya
247,Positive,Jis mein bushra ne bijli ka role adaa kar ke meyla loot liya
248,Negative,ap deen ko pakistan ki ismbli ma nai bacha saky or hindo tu hin kafir Allah imaan da in ko jin ka pora molk muslim hin uno na kya kr leya
249,Negative,Y Kinza naam ki kuriyan esii hi hotii hen bhooti choose hoe amb wargii ho phir b attitude satwen asmaan pe
250,Negative,Stop sahir bakwas show
251,Negative,antiii bhaii full gussy m h
252,Negative,Hum miss rubina ko chkma dia krty thy D
253,Negative,ajeb sanjidgi ory bri be his se lrki hn
254,Negative,3 he bewaqof
255,Positive,Douaun ki iltaja hy
256,Positive,Meri trf se tere liye
257,Negative,Hukumat ne sugar mil malikan ko qematein kam karne par majbor nahi kiya balke neb ne tehqiqat karana chahi to Sadar Perviz Musharaf ke humum par ise bhi rok deya gaya kyun ke is mein ba asar hukumati ehalkar mulavis the aur Wazirati kursiyon par barjaman the
258,Positive,Bas galat vote na daal dena mulk ka sawal ha
259,Negative,Actress Laila ne kuch arsey qabal Lahore mien aik comedy serial ke Pilot mien hissa liya magar wo dobara shuru na ho saka
260,Positive,Thank you for your support
261,Positive,har fankar ko create ya recreate kana parta hai
262,Positive,Farhan ap or bhi aisa hi dramas ma kam kerya
263,Positive,Awwlaaa asees ma ny pehly audio suni thi alhamra ma ub video b bht achay
264,Negative,Hahah pitwaye ga kia
265,Negative,Dikhaty kuch hn or send kuch or krty hn
266,Positive,Baari ap to famous ho gai hain
267,Positive,Main samajhta hunk e khilariyon ko PIA ya mukhtalif banks aur degar idaron mein mulazimat mile to phir squash ka kheel aur tezi se taraqi kare ga
268,Negative,January mein hazara market ke bomb blast 4 Edhi razakaar shaheed 5 zakhmi hue jab ke 5 Edhi ambulance mukammal taur par tabah ho gai
269,Negative,Jani par jo unho nay samjhaya wo to men samjhny bhe nhn aya p
270,Negative,Hahah Waqi patwario mein koi aql nhi
271,Negative,Jacket ki quality achi nahi hai
272,Negative,infinite tmhai bara araha tha na
273,Positive,Seriously Dr Mussadiq Iqbal to hain hi great baki eye walo k lye to ye video bani hai
274,Negative,tujhy to koi btany wala ii nae
275,Negative,Sony say phly shukr adda kya kro hunhhh kbi ghror nae kya hum NY
276,Negative,In sub qawaneen ki khilaf warziyan tu imran Roxana karta rehta hay
277,Positive,Na koi Tmhy Mot dy skta hy amp na koi Tmhra RIZQ Km kr skta hy
278,Positive,RAMZAN MA RIZAK WA EZAFA KA WAZIFA BTA DAIN JO JALADI KAM KRNA WALA HO
279,Positive,Good drama Subse acha kaam Kinza ne kya h uski Acting Yadgar rahi giLove Kinza
280,Negative,Ap aap sahi kaam ni kr rhi ha
281,Positive,High Court Ne Altaf Hussain K Khelaf Ghaddari K Muqadmay K Indraj K Liye Full Bench Tashkil Day Diya
282,Negative,Un k vote elag hony chahiay
283,Positive,Yaar yaha raat ho rhi hai aur kal subha nao bajhay se pehlay kaalij ja na hai to mein yahan puri raat nahi baat sakta baaral bohoot hi accha kyaal hai he ye khaas tor par hum ko faida hai jo yorup mein rehtay hai aur Urdu bolnay ka mauka mila ga to hum sekh saktay hai aapas se Inshallah aur aise cheesay kar na chaiye hai to Pakistan ki tehzeeb taraqi karay
284,Positive,ye bandi bara kamal ke acting karte hain jis kerdar me hoti hain jaan dal dete hain
285,Negative,Veet Miss Pakistan ko b band kerwao
286,Negative,Marusi siast ghulam ibne ghulam ki new type
287,Positive,Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr
288,Positive,Malala Yousafzai ne Pakistan ke Foji jawanon se appeal ki ke agar humare Foji bhai humein tahafoz farahum karein to hum larkiyan apni darsgahon ko ja sakti hain
289,Negative,I think shah mehmood qureshi ki wjja s en ko ticket ni mila
290,Positive,Huma aap khubsuret hain lke u
291,Positive,Saeed Anwar match winning innings khelne ki pori salahiyat rakhte the
292,Negative,Dariya e Kabul Me Selaab Ka Khatra
293,Negative,Pakistan k by ghairat lentil hukmran
294,Negative,Pr Is Ki Ghair Mojudgi Tmam Chezon Ko Be Zaika Bna Deti Hy
295,Positive,Ayaz Sadiq K Bad Siddiq B Out N League Ka Teenon Halqon
296,Negative,Kia kia ni krti he larkeya ufffffffff toba
297,Negative,Aby jahail logo ye Islamabad ha
298,Positive,Awam nay inpar do martaba aitamad kartay hoye inhain muntakhab kia
299,Negative,Gilgit Me Tamam Taleemi Idarey Band Rahengy
300,Positive,He has helped my knowledge of Islam a great deal Allah bless him always Would love more free lectures uploaded on YouTube
301,Positive,Allah aap kee hifazat karey aameen
302,Negative,insay bara koi chor hai he nahe or ye PTI walay behas kartye he rahye gye
303,Positive,Main ne Imran ko bataya tha ke jab mere walid jogging ke liye jaya karte the to wo har din meri waldah ke liye phool laate the
304,Negative,Blkul ghlay koi jahil log he jnhe ye nai pta k ks janwr ko kis trah zibah krty hen or ye ount to mje murda lg rha tha zra sa b nhi hila
305,Positive,Koi bhi film sign karne se pehle tamam pehloun ka jaiyza longa sirf aik film ke liye barson ka image to kharab nahi kar sakta
306,Negative,Begarat ka bacha
307,Positive,Yahan tak ke Helen Keller ke tajasus ki tasqeen ke liye Miss Salon ne Helen ki hatheli par ande se choza nikalne ka aamal tak mukamal karaya
308,Negative,Major Muhammad Akram Shaheed ko 19 May 1971 ko Hili ke muqam par fire kar deya gaya
309,Positive,Wo logon ke sath khilwar nahi karte
310,Positive,Lion of pakistan love u lala
311,Positive,ShUkar hai phli baar suchi bt ki tuny
312,Positive,Match ka maza aa gya tha
313,Negative,Awami Press Club Malir Ka 3 Din Soug Ka Elaan
314,Negative,Mera khayal tha k yeh bohat khaufzada karne wala tajurba ho ga aur main ne yeh bat Imran se bhi kit hi
315,Negative,esko bahduri nashanay bazi ma mahrat kah rd ay ha aur insani jan ka itna bara risk ni lana chaheya gharor to khuda ko bi pasand ni ha dakh k afsos huwa agar nasha chok jata to
316,Negative,Ly hahaha Sath e abu p ilzaam
317,Positive,Tu laakh chale ri gori tham tham k Film Gumnaam ke is geet ke bad aik aur maqbool tareen geet Iqbal Bano ki awaaz se jawidaan hua
318,Negative,Sir Farhad ka paper bs na puchOo
319,Positive,Mukhtasir dauraniye ki cricket mein Shahid Afridi ki aalmi maqboliyat ka aik sabot guzishta dino us waqt saamne aaya jab Bangladesh premier league mein sab se barhi boli inhi ke liye di gai
320,Negative,Saray morning shows bann honay chahiye
321,Positive,Allah Meri behan ko ulad ata kary Ameen
322,Positive,billo g ap sohni bohat h
323,Positive,Desigen nahi soch badly
324,Negative,Tumari nai ho sakti tum marti bhot ho shadi k baad b maar do gi
325,Negative,Or thora sa samjh lo siyasat phir baat karo
326,Negative,Parhy likhy jahil
